,Country Name En,Unit Name,2022,2021,2020,2019,INDEX
112,Ghana,Tonnes - live weight,519627.27,392761.55,370686.15,317305.72,164
113,Gibraltar,Tonnes - live weight,1,1,1,1,100
114,Greece,Tonnes - live weight,65494.798,59631.872,71476.001,83173.701,79
116,Greenland,Tonnes - live weight,307055,271027,259209,265179,116
117,Grenada,Tonnes - live weight,1855.619,1211.56,1893.891,2048.888,91
118,Guadeloupe,Tonnes - live weight,1635,2276.005,2709.27,2855.306,57
119,Guam,Tonnes - live weight,351.5,25.68,47.13,90.187,390
120,Guatemala,Tonnes - live weight,16256.649,11082.064,11489.612,15714.257,103
122,Guinea,Tonnes - live weight,334870,325120,309570,359837,93
123,Guinea-Bissau,Tonnes - live weight,63835,63221,62392.458,60150,106
125,Guyana,Tonnes - live weight,36253.455,34216.25,39986.9,39087,93
126,Haiti,Tonnes - live weight,16710,16220,16350,16350,102
128,Honduras,Tonnes - live weight,20193,21680,15846,11947,169
129,Hungary,Tonnes - live weight,4597.022,4600.536,5483.12,4836,95
131,Iceland,Tonnes - live weight,1434724.472,1171229.402,1039086.2,1066888,134
132,India,Tonnes - live weight,5539024.996,5024905.001,4658197.001,5477099.999,101
134,Indonesia,Tonnes - live weight,7398555.409,7224500.587,6989080.158,7335060.469,101
135,Iran (Islamic Republic of),Tonnes - live weight,811552.11,779465.744,790900.043,824550.001,98
136,Iraq,Tonnes - live weight,44550,43679.679,34770.171,40069,111
138,Ireland,Tonnes - live weight,203538.766,234158.918,208502.065,238443.651,85
139,Isle of Man,Tonnes - live weight,3041,3041.323,2742.95,2939,103
141,Israel,Tonnes - live weight,2055,2035,2016,2046,100
143,Italy,Tonnes - live weight,143645.524,151728.991,141177.031,186078.528,77
144,Jamaica,Tonnes - live weight,12529.49,13231,12874.92,13475,93
146,Japan,Tonnes - live weight,2967756.199,3254272.669,3267503.217,3260033.478,91
147,Jordan,Tonnes - live weight,675,665,583.945,678.738,99
149,Kazakhstan,Tonnes - live weight,42691.9,41457.329,42597.376,45644.602,94
151,Kenya,Tonnes - live weight,145801.458,141296.884,130165.338,130730.83,112
152,Kiribati,Tonnes - live weight,203294.048,191128.548,212750.294,238698.33,85
153,Kuwait,Tonnes - live weight,1886,3525,3095,3016,63
154,Kyrgyzstan,Tonnes - live weight,31,22,20,20,155
155,Lao People's Democratic Republic,Tonnes - live weight,72420,71000,70001,64701,112
156,Latvia,Tonnes - live weight,61508,61658.11,64989,71385,86
157,Lebanon,Tonnes - live weight,2620,2580,2455,2619.8,100
158,Lesotho,Tonnes - live weight,79,75,67,57,139
159,Liberia,Tonnes - live weight,29338,25169.139,31661.669,16134.015,182
160,Libya,Tonnes - live weight,32585,31951.333,31803.545,32335,101
161,Liechtenstein,Tonnes - live weight,0,0,0,0,#DIV/0!
162,Lithuania,Tonnes - live weight,106922.147,96152.482,90991.355,102219.9,105
163,Luxembourg,Tonnes - live weight,0,0,0,0,#DIV/0!
165,Madagascar,Tonnes - live weight,127190.115,114337.265,112552.845,114182.275,111
167,Malawi,Tonnes - live weight,186865.36,170560,171115.22,154922,121
169,Malaysia,Tonnes - live weight,1318358.549,1338230.636,1391044.797,1465095.105,90
170,Maldives,Tonnes - live weight,155205.443,144993.211,148565.277,135062.856,115
172,Mali,Tonnes - live weight,110365.91,105400,117690,109361.999,101
173,Malta,Tonnes - live weight,2809.271,2502.896,2103.246,2491.889,113
174,Marshall Islands,Tonnes - live weight,91636.299,95819.063,88189.912,101556.164,90
175,Martinique,Tonnes - live weight,1544,1156.891,1558.179,1059.154,146
176,Mauritania,Tonnes - live weight,780382.798,762868.26,678425,720849.51,108
178,Mauritius,Tonnes - live weight,33284.19,30029.298,25989.686,34076.283,98
179,Mayotte,Tonnes - live weight,1131.143,1183.878,1016.555,941.061,120
181,Mexico,Tonnes - live weight,1683375.783,1672264.983,1591535.81,1570812.852,107
182,Micronesia (Federated States of),Tonnes - live weight,178235.339,166100.085,193668.433,181569.126,98
183,Monaco,Tonnes - live weight,1,1,1,1,100
184,Mongolia,Tonnes - live weight,0,0,25,30,0
185,Montenegro,Tonnes - live weight,855,808,816.453,1276,67
186,Montserrat,Tonnes - live weight,30,30,25,30,100
187,Morocco,Tonnes - live weight,1590644.216,1432199.131,1397532.714,1475913.647,108
189,Mozambique,Tonnes - live weight,456374.535,409247.036,387762.02,401122.357,114
190,Myanmar,Tonnes - live weight,1864730,1665740,1977330,1951120,96
192,Namibia,Tonnes - live weight,415668.909,410849.454,329670.117,467040.161,89
193,Nauru,Tonnes - live weight,106750,120409,92388,33525,318
194,Nepal,Tonnes - live weight,21000,21000,21000,21000,100
195,Netherlands Antilles,Tonnes - live weight,,,,,#DIV/0!
197,Netherlands (Kingdom of the),Tonnes - live weight,298622,299541,307176.118,320361.796,93
198,New Caledonia,Tonnes - live weight,4207.918,3304.953,3326.596,3737.236,113
200,New Zealand,Tonnes - live weight,346317.586,343507.031,364964,412627.898,84
202,Nicaragua,Tonnes - live weight,53732.32,55274.53,43466.54,51310,105
203,Niger,Tonnes - live weight,47670,47200,46000.001,40058,119
204,Nigeria,Tonnes - live weight,784124,805210,783101.704,825013.256,95
205,Niue,Tonnes - live weight,40,40,34,38,105
206,Norfolk Island,Tonnes - live weight,0,0,0,0,#DIV/0!
207,Northern Mariana Islands,Tonnes - live weight,162.475,198.402,102.381,97.324,167
208,North Macedonia,Tonnes - live weight,447,514,472.875,399.5,112
210,Norway,Tonnes - live weight,2613634.395,2579734.268,2625367.743,2478585.819,105
212,Oman,Tonnes - live weight,748355.508,922083.336,793418.923,579186,129
214,Other NEI,Tonnes - live weight,40498.193,36531.319,51302.924,50575.252,80
215,Pakistan,Tonnes - live weight,500045.257,496058.999,492783.001,488503,102
216,Palau,Tonnes - live weight,813.06,824,776,3932.958,21
217,Palestine,Tonnes - live weight,4195,4660.7,4661.9,3943,106
219,Panama,Tonnes - live weight,186644.947,222715.793,218459.552,260275.487,72
221,Papua New Guinea,Tonnes - live weight,237730.051,188675.47,217808.47,287309.584,83
223,Paraguay,Tonnes - live weight,17905,17560,16975,16940.479,106
225,Peru,Tonnes - live weight,5368100.711,6576171.074,5676965.489,4852821.377,111
227,Philippines,Tonnes - live weight,1771247.272,1842066.894,1914918.37,1830848.66,97
228,Pitcairn,Tonnes - live weight,3,3,3,3,100
230,Poland,Tonnes - live weight,178522.95,201384.5,206390.296,211443,84
232,Portugal,Tonnes - live weight,159890.582,179528.783,159947.958,185049.08,86
233,Puerto Rico,Tonnes - live weight,1581.329,1580,1579.709,1515.28,104
234,Qatar,Tonnes - live weight,18439,16554.5,15086.5,17130,108
236,Republic of Korea,Tonnes - live weight,1259439.847,1359948.119,1375688.212,1424966.158,88
237,Republic of Moldova,Tonnes - live weight,0,0,50,50,0
238,Réunion,Tonnes - live weight,2697,2693.082,2654.217,2496.477,108
239,Romania,Tonnes - live weight,6256.435,6350.6,7972.88,10927.4,57
241,Russian Federation,Tonnes - live weight,4991530,5167703,5081016.068,4983420.144,100
242,Rwanda,Tonnes - live weight,32735,32094,29979,20910.2,157
243,Saint Barthélemy,Tonnes - live weight,100,100,100,100,100
244,Saint Kitts and Nevis,Tonnes - live weight,670,672.513,646.54,652,103
246,Saint Lucia,Tonnes - live weight,1442.65,1414.473,1423.829,1845.104,78
247,Saint Martin (French part),Tonnes - live weight,90,90,90,90,100
248,Saint Pierre and Miquelon,Tonnes - live weight,2612.2,2488.35,2692.83,3330,78
250,Saint Vincent and the Grenadines,Tonnes - live weight,1584,1586.279,2127.542,1968.776,80
251,Samoa,Tonnes - live weight,9589.25,9176.417,9954.172,11213.469,86
252,San Marino,Tonnes - live weight,0,0,0,0,#DIV/0!
253,Sao Tome and Principe,Tonnes - live weight,5703.38,5117.248,5679.458,5432.788,105
254,Saudi Arabia,Tonnes - live weight,64263.014,67459,57805,65477,98
256,Senegal,Tonnes - live weight,533771.212,513957.078,458363.426,516141.255,103
257,Serbia,Tonnes - live weight,2379,2353,1932,2547,93
258,Serbia and Montenegro,Tonnes - live weight,,,,,#DIV/0!
259,Seychelles,Tonnes - live weight,137838.332,144232.337,139647.608,142169.392,97
261,Sierra Leone,Tonnes - live weight,215140,204900,200630,202100,106
263,Singapore,Tonnes - live weight,207.405,306.32,355.59,1417.707,15
264,Sint Maarten (Dutch part),Tonnes - live weight,253,253,253,253,100
265,Slovakia,Tonnes - live weight,1895,1815,1736,1853,102
266,Slovenia,Tonnes - live weight,272.257,268.812,311.999,281.36,97
267,Solomon Islands,Tonnes - live weight,47838.082,49829.282,40902.666,68303.89,70
269,Somalia,Tonnes - live weight,30000,30000,30000,30000,100
271,South Africa,Tonnes - live weight,473450.53,494129.207,603682.466,447004.204,106
272,South Sudan,Tonnes - live weight,47000,44000,41000,43000,109
274,Spain,Tonnes - live weight,809094.477,803120.914,798280.421,882909.496,92
276,Sri Lanka,Tonnes - live weight,332622.722,372451.539,382486.799,471714.311,71
277,Sudan,Tonnes - live weight,44250,40970,37660,40770,109
279,Sudan (former),Tonnes - live weight,,,,,#DIV/0!
280,Suriname,Tonnes - live weight,33695,32130,29772,31388,107
281,Svalbard and Jan Mayen Islands,Tonnes - live weight,0,0,0,0,#DIV/0!
283,Sweden,Tonnes - live weight,152028.06,167366.29,179642.86,184337,82
284,Switzerland,Tonnes - live weight,1485.92,1485.92,1485.92,1382.313,107
285,Syrian Arab Republic,Tonnes - live weight,4430,4310,3845,4080,109
287,Taiwan Province of China,Tonnes - live weight,614595.218,691081.289,605421.443,734289.446,84
288,Tajikistan,Tonnes - live weight,2425,2350.215,1809.86,1716.33,141
290,Thailand,Tonnes - live weight,1385491.33,1414583.6,1588859.33,1527182.38,91
291,Timor-Leste,Tonnes - live weight,6706.6,6525.9,6806.24,7053.41,95
292,Togo,Tonnes - live weight,21505.22,17984,18034,25526,84
293,Tokelau,Tonnes - live weight,38,70,70,86,44
295,Tonga,Tonnes - live weight,1326.038,1115.219,1097.123,1212.605,109
296,Trinidad and Tobago,Tonnes - live weight,13069.012,13084.17,12912.669,12941.729,101
297,Tunisia,Tonnes - live weight,128705.372,124243.444,121822,130981.999,98
299,Türkiye,Tonnes - live weight,335002.9,328158,364404.882,463194.962,72
300,Turkmenistan,Tonnes - live weight,15097,15042,14605,15000,101
301,Turks and Caicos Islands,Tonnes - live weight,3241,2277,1297,1243,261
302,Tuvalu,Tonnes - live weight,42781,31086.506,11295,8357.278,512
304,Uganda,Tonnes - live weight,444935,634594.96,578684,603224,74
306,Ukraine,Tonnes - live weight,22720.929,63048.279,69467.082,81730.61,28
307,United Arab Emirates,Tonnes - live weight,65510,67944,71388,72117,91
309,United Kingdom of Great Britain and Northern Ireland,Tonnes - live weight,617387.965,635000.456,626404.881,618928.161,100
311,United Republic of Tanzania,Tonnes - live weight,472892.761,477775.425,472951.163,468437.258,101
312,"United Republic of Tanzania, Zanzibar",Tonnes - live weight,38650,36800,38105,36728,105
314,United States of America,Tonnes - live weight,4262836,4307886,4268937,4824484,88
315,United States Virgin Islands,Tonnes - live weight,385,420.324,355.592,332.715,116
317,Uruguay,Tonnes - live weight,68781.641,66300.607,62879.956,68005.77,101
318,Uzbekistan,Tonnes - live weight,55000,53000,46099.999,40000,138
319,Vanuatu,Tonnes - live weight,88117.341,69872.539,63665.505,57184.384,154
321,Venezuela (Bolivarian Republic of),Tonnes - live weight,212118.571,223100.003,195900.003,176299.999,120
323,Viet Nam,Tonnes - live weight,3590003.03,3540250.15,3506056.76,3440531.31,104
324,Wallis and Futuna Islands,Tonnes - live weight,204.326,264,263.8,304.239,67
325,Yemen,Tonnes - live weight,178190,154940,131306.513,131305.736,136
326,Yugoslavia SFR,Tonnes - live weight,,,,,#DIV/0!
328,Zambia,Tonnes - live weight,109428,105125,106836,97463,112
330,Zimbabwe,Tonnes - live weight,26161,22734,26671.559,26569.258,98
