,Year,int_tourist_arrivals_millions,domestic_aviation_CO2_emissions_Mt,international_aviation_CO2_emissions_Mt,total_aviation_CO2_emissions_Mt,fossil_fuel_emissions_GtCarbon,land_use_emissions_GtCarbon,total_emissions_GtCarbon,deforestation_emissions_GtCarbon,deforestation_HA,deforestation_emissions_Mg_co2e,shipping_emissions_all_types_Mt_co2,shipping_volume_million_metric_tons,cars_sold_EV,cars_sold_non_EV,cars_sold_total,cement_production_thousand_metric_tons,percent_reporting_happiness,visits_to_US_national_parks,tonnes_fish_landed,passenger_vehicle_emissions_Gt_co2,exports_timber_products_USD,USA_WFH_share,total_municipal_waste_tonnes,outdoor_rec_participation_rate,millions_sales_garden_equipment,paid_fishing_license_holders,paid_hunting_license_holders,participation_in_outdoor_rec_percent,participation_in_outdoor_rec_million,number_of_outdoor_excursions,Finland_outdoor_visits
29,1933,,,,,,,,,,,,,,,,,,0.9940515415494076,,,,,,,,,,,,,
30,1934,,,,,,,,,,,,,,,,,,1.8610356380113953,,,,,,,,,,,,,
31,1935,,,,,,,,,,,,,,,,,,2.2703150217852,,,,,,,,,,,,,
32,1936,,,,,,,,,,,,,,,,,,3.587540087545909,,,,,,,,,,,,,
33,1937,,,,,,,,,,,,,,,,,,4.530652534612297,,,,,,,,,,,,,
34,1938,,,,,,,,,,,,,,,,,,4.891196986861909,,,,,,,,,,,,,
35,1939,,,,,,,,,,,,,,,,,,4.622981284500863,,,,,,,,,,,,,
36,1940,,,,,,,,,,,,,,,,,,5.010477956845298,,,,,,,,,,,,,
37,1941,,,,,,,,,,,,,,,,,,6.255448368560497,,,,,,,,,,,,,
38,1942,,,,,,,,,,,,,,,,,,2.7148225415700202,,,,,,,,,,,,,
39,1943,,,,,,,,,,,,,,,,,,1.9490653694125974,,,,,,,,,,,,,
40,1944,,,,,,,,,,,,,,,,,,2.3582894888152226,,,,,,,,,,,,,
41,1945,,,,,,,,,,,,,,,,,,3.314502950459439,,,,,,,,,,,,,
42,1946,,,,,,,,,,,,,,,,,,6.3868551354336,,,,,,,,,,,,,
43,1947,,,,,,,,,,,,,,,,,,7.40680795804136,,,,,,,,,,,,,
44,1948,,,,,,,,,,,,,,,,,,8.028537629719485,,,,,,,,,,,,,
45,1949,,,,,,,,,,,,,,,,,,8.892628743215013,,,,,,,,,,,,,
46,1950,,,,,,,,,,,,,,,,,,9.986110659013612,,,,,,,,,,,,,
47,1951,,,,,,,,,,,,,,,,,,11.179029055621754,,,,,,,,,,,,,
48,1952,,,,,,,,,,,,,,,,,,12.764028014102088,,,,,,,,,,,,,
49,1953,,,,,,,,,,,,,,,,,,13.947308731835681,,,,,,,,,,,,,
50,1954,,,,,,,,,,,,,,,,,,14.645913281121164,,,,,,,,,,,,,
