Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag
Bangladesh,Tonnes - live weight,2027661,A,1982483,A,1919505.001,A,1895619,A,1871225,A,1801084,A,1674770,A,1623837,A,1592174,A,1550446,A,1535715,A,1600918,A,1726586,A,1821579,A,1557754,A,1494199,A,1436496,A,1333866,A,1187274,A,1141241,A,1103855,A,1068417,A,1004264,A
Barbados,Tonnes - live weight,851.543,E,846.567,A,1033.76,A,874.731,A,1731.953,A,1739.549,A,1735.481,A,1498.947,A,2206.311,A,2975.883,A,1360.627,A,1817.89,A,3280,A,3507,A,3562,A,2235,A,1986,A,2193,A,2159,A,2849,A,2530,A,2731,A,3185,A
Belarus,Tonnes - live weight,356,A,611.231,A,939.054,A,662,A,800.4,A,773.3,A,688.3,A,869,A,766,A,697,A,965,A,1122,A,897,A,826,A,809,A,689,A,645,A,594,A,583,A,803,A,1020,A,944,A,553,A
Belgium,Number,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,17,A,15,A,0,A,0,A,15,A,0,A,0,A,29,A,19,A,19,A,0,A,0,A,0,A,0,A
Belgium,Tonnes - live weight,18710,A,17937,A,19953.8,A,21350,A,23005,A,24649,A,26970,A,24721,A,26793,A,25662,A,24659,A,22477,A,22418,A,21722,A,22609,A,24541,A,23019,A,24567,A,26735,A,26831,A,29028,A,30209,A,29800,A
Belize,Tonnes - live weight,204764.256,E,191504.127,E,186909.895,E,213986.359,A,216956.026,A,121359.059,A,91424.505,A,97524.239,A,76201.203,A,34703.607,A,171943.243,A,277494.308,A,399928,A,304217,A,364274,A,305645,A,185773,A,100507,A,70046,A,43358,A,84360,A,30746,A,30322,A
Benin,Tonnes - live weight,76105,E,74615,E,73965,E,73484.9,E,54959,A,48203,A,49806,A,36477,A,47583,A,42416,A,40364,A,38848,A,39791,E,38928,E,37495,E,36386,E,41507,E,31497,E,39988,E,41648,E,40663,E,38415,E,32324,E
Bermuda,Tonnes - live weight,392,A,419,A,358.48,A,374,A,354,A,380,A,410,A,407,A,417,A,461,A,516,A,478,A,375,A,416,A,401,A,425,A,381,A,401,A,386,A,363,A,397,A,309,A,290,A
Bhutan,Tonnes - live weight,9,A,1.1,A,0.5,A,0.5,A,0,A,16,A,12,E,7,A,5,E,3,A,2,A,4,E,6,E,8,E,10,E,15,E,20,E,25,E,30,E,35,E,40,E,45,E,50,E
Bolivia (Plurinational State of),Number,44316,A,11658,A,6610,A,202176,A,29734,A,53940,A,43492,A,67606,A,84970,A,61500,A,59087,A,48612,A,24192,A,27885,A,54588,A,49115,A,44443,A,51330,A,36299,A,43528,A,31018,A,28170,A,,
